timestamp,open,high,low,close,volume
2026-06-01 09:30:00,24000.0,24010.19,23994.17,24008.94,2138
2026-06-01 09:35:00,24008.94,24044.61,24007.82,24036.36,1982
2026-06-01 09:40:00,24036.36,24050.47,24031.13,24041.38,2824
2026-06-01 09:45:00,24041.38,24054.54,24018.08,24031.93,2800
2026-06-01 09:50:00,24031.93,24036.99,23991.76,24000.88,1475
2026-06-01 09:55:00,24000.88,24008.79,23999.4,24006.53,1062
2026-06-01 10:00:00,24006.53,24009.41,23996.32,24009.1,1146
2026-06-01 10:05:00,24009.1,24014.5,23998.68,24007.21,1863
2026-06-01 10:10:00,24007.21,24031.15,23997.04,24021.24,534
2026-06-01 10:15:00,24021.24,24030.02,24017.73,24027.95,1521
2026-06-01 10:20:00,24027.95,24088.71,24025.99,24077.96,1315
2026-06-01 10:25:00,24077.96,24100.55,24061.43,24093.83,1775
2026-06-01 10:30:00,24093.83,24096.54,24078.45,24091.75,1576
2026-06-01 10:35:00,24091.75,24095.9,24078.02,24078.8,2735
2026-06-01 10:40:00,24078.8,24080.01,24053.21,24058.45,2198
2026-06-01 10:45:00,24058.45,24078.71,24046.71,24074.43,2778
2026-06-01 10:50:00,24074.43,24088.52,24072.91,24086.35,1002
2026-06-01 10:55:00,24086.35,24117.27,24075.58,24107.31,2646
2026-06-01 11:00:00,24107.31,24113.05,24060.58,24078.98,1985
2026-06-01 11:05:00,24078.98,24102.44,24072.35,24098.23,1002
2026-06-01 11:10:00,24098.23,24112.31,24074.01,24097.58,1984
2026-06-01 11:15:00,24097.58,24113.73,24096.56,24112.38,1063
2026-06-01 11:20:00,24112.38,24149.9,24109.7,24144.67,2178
2026-06-01 11:25:00,24144.67,24151.78,24119.48,24126.17,1683
2026-06-01 11:30:00,24126.17,24162.79,24123.53,24155.38,2097
2026-06-01 11:35:00,24155.38,24179.76,24152.42,24171.52,1551
2026-06-01 11:40:00,24171.52,24184.11,24160.96,24164.05,2538
2026-06-01 11:45:00,24164.05,24180.35,24158.0,24177.57,1908
2026-06-01 11:50:00,24177.57,24190.74,24167.85,24170.51,1209
2026-06-01 11:55:00,24170.51,24199.11,24167.4,24175.21,1757
